"Issuer","IIN","Format","Type","Country","Scheme"
"visa_issued","455636","4556 36XX XXXX XXXX","CREDIT","Argentina","Visa"
"visa_issued","480286","4802 86XX XXXX XXXX","CREDIT","Argentina","Visa"
"visa_issued","401795","4017 95XX XXXX XXXX","DEBIT","Australia","Visa"
"visa_issued","413348","4133 48XX XXXX XXXX","CREDIT","Australia","Visa"
"visa_issued","462239","4622 39XX XXXX XXXX","DEBIT","Australia","Visa"
"visa_issued","464579","4645 79XX XXXX XXXX","DEBIT","Australia","Visa"
"visa_issued","423608","4236 08XX XXXX XXXX","CREDIT","Belgium","Visa"
"visa_issued","489113","4891 13XX XXXX XXXX","CREDIT","Belgium","Visa"
"visa_issued","492063","4920 63XX XXXX XXXX","CREDIT","Bolivia","Visa"
"visa_issued","453226","4532 26XX XXXX XXXX","CREDIT","Brazil","Visa"
"visa_issued","491656","4916 56XX XXXX XXXX","CREDIT","Brazil","Visa"
"visa_issued","452668","4526 68XX XXXX XXXX","CREDIT","Canada","Visa"
"visa_issued","491680","4916 80XX XXXX XXXX","DEBIT","China","Visa"
"visa_issued","45710600","4571 0600 XXXX XXXX","DEBIT","Denmark","Visa"
"visa_issued","45715252","4571 5252 XXXX XXXX","DEBIT","Denmark","Visa"
"visa_issued","491618","4916 18XX XXXX XXXX","CREDIT","Dominican Republic","Visa"
"visa_issued","455670","4556 70XX XXXX XXXX","CREDIT","France","Visa"
"visa_issued","455671","4556 71XX XXXX XXXX","DEBIT","France","Visa"
"visa_issued","455682","4556 82XX XXXX XXXX","CREDIT","France","Visa"
"visa_issued","455692","4556 92XX XXXX XXXX","CREDIT","France","Visa"
"visa_issued","455697","4556 97XX XXXX XXXX","DEBIT","France","Visa"
"visa_issued","456178","4561 78XX XXXX XXXX","CREDIT","France","Visa"
"visa_issued","453205","4532 05XX XXXX XXXX","CREDIT","Germany","Visa"
"visa_issued","474843","4748 43XX XXXX XXXX","CREDIT","Germany","Visa"
"visa_issued","499897","4998 97XX XXXX XXXX","CREDIT","Germany","Visa"
"visa_issued","491650","4916 50XX XXXX XXXX","DEBIT","Gibraltar","Visa"
"visa_issued","415500","4155 00XX XXXX XXXX","DEBIT","Greece","Visa"
"visa_issued","450327","4503 27XX XXXX XXXX","CREDIT","Haiti","Visa"
"visa_issued","455602","4556 02XX XXXX XXXX","DEBIT","Hungary","Visa"
"visa_issued","438439","4384 39XX XXXX XXXX","CREDIT","India","Visa"
"visa_issued","445377","4453 77XX XXXX XXXX","CREDIT","Indonesia","Visa"
"visa_issued","451249","4512 49XX XXXX XXXX","CREDIT","Indonesia","Visa"
"visa_issued","430951","4309 51XX XXXX XXXX","CREDIT","Jamaica","Visa"
"visa_issued","416917","4169 17XX XXXX XXXX","CREDIT","Kenya","Visa"
